ts_code,metric_name,name,ann_date,end_date,industry,roic_slope,roic_log_slope,roic_r_squared,roic_p_value,roic_cagr_approx,roic_cagr,roic_trend_direction,roic_robust_slope,roic_cv,roic_std_dev,roic_volatility_type,roic_volatility_regime,roic_has_deterioration,roic_deterioration_severity,roic_total_decline_pct,roic_has_inflection,roic_inflection_type,roic_slope_change,roic_is_cyclical,roic_current_phase,roic_cycle_position,roic_is_accelerating,roic_is_decelerating,roic_recent_3y_slope,roic_mk_tau,roic_mk_p_value,roic_weighted_avg,roic_latest_value,roic_latest_vs_weighted_ratio,roic_full_data_years,roic_trend_window_years,roic_has_structural_break,roic_break_year_index,roic_data_regime
000009.SZ,roic,中国宝安,20250416.0,20241231,电气设备,-0.79374,-0.16462617405695837,0.4228913217944921,0.23478367391674726,-0.13657114795122505,-0.13657114795122505,down,-0.9726375,0.33942518820469747,2.1519081736914334,moderate,increasing_vol,True,moderate,-61.730760509727446,False,none,-3.4421999999999997,False,falling,bottom,False,True,-0.4712346154894478,-0.4,0.4624327264504764,6.101738,3.3755,0.5532030382163247,10,5,False,,stable
000020.SZ,roic,深华发A,20250422.0,20241231,元器件,0.11900000000000004,0.035994965397334884,0.2921055090489049,0.34700404806325186,0.33075795920125817,0.33075795920125817,up,0.537275,0.6480993649304644,2.8047925835968694,volatile,increasing_vol,False,none,190.8823805207389,False,none,5.628350000000001,False,rising,top,False,False,0.523523745986209,0.8,0.0864107329737,4.736791,9.3062,1.9646634187575513,10,5,False,,stable
000021.SZ,roic,深科技,20250425.0,20241231,元器件,-0.27032,-0.04423217310769146,0.12530863399239703,0.558884866619127,-0.042572622630148715,-0.042572622630148715,down,-0.32423749999999996,0.24403138915088535,1.0768958784395082,moderate,decreasing_vol,False,none,58.06999551310813,True,deterioration_to_recovery,2.6494999999999997,False,rising,top,True,False,0.22162373190378437,-0.2,0.8064959405073401,4.27778,4.9321,1.1529578426193026,10,5,False,,stable
000034.SZ,roic,神州数码,20250329.0,20241231,软件服务,0.08777999999999997,0.00842103961846484,0.07553321279424913,0.654528186058137,0.006370070808427775,0.006370070808427775,up,0.28510000000000024,0.3194115730926182,1.6735441607558492,moderate,decreasing_vol,True,moderate,-13.063176440976592,False,none,2.5885000000000002,False,falling,mid_down,False,False,-0.06901582086332447,0.4,0.4624327264504764,5.3725190000000005,5.5264,1.0286422439827574,10,5,False,,stable
000045.SZ,roic,深纺织A,20250328.0,20241231,元器件,0.56502,0.2459650414827418,0.80257445974965,0.039703148578509206,0.3492039183122848,0.3492039183122848,up,0.5429250000000001,0.4646546871525885,0.9861924011063967,stable,stable,False,none,133.74621718629035,False,none,0.024799999999999933,False,rising,top,False,False,0.382681402159994,0.8,0.0864107329737,2.291926,3.3213,1.449130556571198,10,5,False,,stable
000049.SZ,roic,德赛电池,20250422.0,20241231,电气设备,-4.25073,-0.4477940503692024,0.8891596227059173,0.016215708711328613,-0.34427782175604305,-0.34427782175604305,down,-3.9964041666666668,0.5690312785219986,6.97030312375294,stable,increasing_vol,True,severe,-75.76689464199987,False,none,-0.6623999999999994,False,falling,bottom,False,True,-0.6993299829482305,-1.0,0.02748633611151033,10.974201,3.483,0.31738073687551377,10,5,False,,stable
000050.SZ,roic,深天马A,20250315.0,20241231,元器件,-1.0448,-0.4937217183413849,0.39616002316216153,0.2552215350067181,,,down,-1.0888166666666668,1.4944331501859796,2.2244338553888268,high_volatility,increasing_vol,False,none,24.01433691756272,False,none,4.3573,False,rising,mid_up,False,False,0.0770001970780142,-0.6,0.22067136191984693,1.1750399999999999,1.1418,0.9717116013071896,10,5,False,,stable
000062.SZ,roic,深圳华强,20250314.0,20241231,元器件,-1.4883700000000002,-0.28551491196674794,0.7283389929541934,0.06586047937720531,-0.2337850935742709,-0.2337850935742709,down,-1.6442625,0.4227091348976807,2.807109914663122,moderate,increasing_vol,True,moderate,-68.52306978900997,False,none,-4.349500000000001,False,falling,bottom,False,True,-0.5634765642218563,-0.6,0.22067136191984693,6.194249000000001,2.7152,0.4383420815017284,10,5,False,,stable
000066.SZ,roic,中国长城,20250428.0,20241231,IT设备,-3.3146699999999996,-1.432324890917493,0.9082944981023794,0.012127629115815334,,,down,-3.2887125,4.223967610473418,5.269821990826635,volatile,stable,True,severe,-373.7972861842105,False,none,0.13684999999999992,False,falling,mid_down,False,True,-1.896835074888383,-1.0,0.02748633611151033,0.25319899999999995,-5.327,-21.0387876729371,10,5,False,,stable
000100.SZ,roic,TCL科技,20250429.0,20241231,元器件,-0.7288400000000002,-0.39282701065761505,0.6215803282148656,0.11305963406038151,-0.5693774356341391,-0.5693774356341391,down,-1.0525875,0.8753743798681717,2.9259563721969606,high_volatility,decreasing_vol,True,severe,-92.21992281447508,False,none,-4.684099999999999,False,falling,bottom,False,False,-0.6029470165027682,-0.6,0.22067136191984693,2.9560720000000003,0.1391,0.04705568741221458,10,5,False,,stable
000153.SZ,roic,丰原药业,20250411.0,20241231,化学制药,0.021119999999999983,0.001085411201457367,0.007245915386186195,0.8917491334036285,-0.004139035840892702,-0.004139035840892702,up,-0.022191666666666644,0.05855646285903025,0.3900141497433139,ultra_stable,stable,False,none,-12.706946812606567,True,accelerated_decline,-0.40934999999999944,False,falling,bottom,False,True,-0.06722336250516592,-0.2,0.8064959405073401,6.6710400000000005,6.3483,0.9516207367966614,10,5,False,,stable
