ts_code,name,industry,roic_weighted,roic_log_slope,roic_slope,roic_r_squared,roic_p_value,roic_cagr,roic_latest,roic_trend_score,roic_robust_slope,roic_mk_tau,roic_mk_p_value,roic_data_quality,roic_data_quality_original,roic_data_quality_cleaned,roic_has_loss_years,roic_loss_year_count,roic_has_near_zero_years,roic_near_zero_count,roic_has_loss_years_cleaned,roic_loss_year_count_cleaned,roic_has_near_zero_years_cleaned,roic_near_zero_count_cleaned,roic_cv,roic_std_dev,roic_range_ratio,roic_volatility_type,roic_vol_mean_near_zero,roic_has_inflection,roic_inflection_type,roic_early_slope,roic_middle_slope,roic_recent_slope,roic_slope_change,roic_inflection_confidence,roic_inflection_early_r2,roic_inflection_recent_r2,roic_has_deterioration,roic_deterioration_severity,roic_year4_to_5_change,roic_year3_to_4_change,roic_total_decline_pct,roic_year4_to_5_pct,roic_year3_to_4_pct,roic_is_high_level_stable,roic_deterioration_industry,roic_is_cyclical,roic_peak_to_trough_ratio,roic_has_middle_peak,roic_current_phase,roic_industry_cyclical,roic_has_wave_pattern,roic_trend_r_squared,roic_cyclical_cv,roic_cyclical_confidence,roic_cyclical_industry,roic_decline_threshold_pct,roic_decline_threshold_abs,roic_peak_to_trough_threshold,roic_trend_r_squared_max,roic_cv_threshold,roic_recent_3y_slope,roic_recent_3y_r_squared,roic_trend_acceleration,roic_is_accelerating,roic_is_decelerating,roic_full_5y_slope,roic_full_5y_r_squared,roic_penalty,roic_penalty_details,roic_strategies,roic_strategy_reasons,roic_is_high_growth,roic_is_turnaround,score_value,score_trend,score_momentum,score_stability,base_score,final_penalty,quality_score,grade,recommendation
000020.SZ,深华发A,元器件,4.736791,0.037026752639465886,0.11900000000000005,0.2921055090489049,0.34700404806325186,0.33075795920125817,9.3062,110.0,0.17164461823657468,0.7999999999999999,0.08333333333333333,good,good,good,false,0,false,0,false,0,false,0,0.6480993649304644,2.8047925835968694,1.5487138724316731,high_volatility,false,true,acceleration,0.2379,0.0,3.0534499999999998,2.81555,0.6092964969993779,0.5824271488695485,0.7943653149372235,false,none,5.744300000000001,0.36260000000000003,190.8823805207389,161.27067014795475,11.333729253274155,false,元器件,false,1.0,false,rising,false,false,0.0,0.6480993649304644,0.814766031597131,元器件,-5.0,-2.0,3.0,0.3,0.5,3.0534499999999998,0.7943653149372235,1.6898799999999996,true,false,1.3635700000000002,0.590871963295011,0.0,"",turnaround,"底部强力反转(曾跌191%, 近期斜率3.05)",0,1,0,35.0,4,3,42.0,10,32.0,F,❌ 规避风险
000021.SZ,深科技,元器件,4.27778,-0.054029385957111355,-0.27032,0.12530863399239706,0.5588848666191267,-0.042572622630148715,4.9321,100.0,-0.07091921565201453,-0.19999999999999998,0.8166666666666667,good,good,good,false,0,false,0,false,0,false,0,0.24403138915088535,1.0768958784395082,0.6230313577796207,moderate,false,true,deterioration_to_recovery,-0.80022,0.0,0.90595,1.7061700000000002,0.6952859194558734,0.7442648044210036,0.9476384452102746,false,none,1.2748,0.5371000000000001,58.06999551310813,34.856314767724825,17.213640151272358,false,元器件,false,1.0,false,rising,false,false,0.0,0.24403138915088535,0.41069805581755203,元器件,-5.0,-2.0,3.0,0.3,0.5,0.90595,0.9476384452102746,1.1762700000000001,true,false,-0.27032,0.15752479989231882,0.0,"","","",0,0,0,35.0,0,0,35.0,18,17.0,F,❌ 规避风险
000034.SZ,神州数码,软件服务,5.3725190000000005,0.014504474055675188,0.08777999999999997,0.0755332127942491,0.654528186058137,0.006370070808427775,5.5264,89.570635,0.046108382229002785,0.39999999999999997,0.48333333333333334,good,good,good,false,0,false,0,false,0,false,0,0.3194115730926182,1.6735441607558492,0.7936123188267494,moderate,false,false,none,0.74359,0.0,-0.4152,0.0,0.07144794880362171,0.24906396490140703,0.5891069153401158,true,moderate,-1.0158000000000005,0.18540000000000045,-13.063176440976592,-15.52688697991502,2.9165617920966596,false,软件服务,false,2.7440963046852063,true,falling,false,false,0.0,0.3194115730926182,0.7767609572068193,软件服务,-5.0,-2.0,3.0,0.3,0.5,-0.4152,0.5891069153401158,-0.85873,false,true,0.4435299999999999,0.1755948021299657,10.429365,中度恶化-10分; 加速下滑-0.4分(加速度-0.86),"","",0,0,0,31.35,0,0,31.35,26,5.350000000000001,F,❌ 规避风险
000045.SZ,深纺织A,元器件,2.291926,0.24533094577478753,0.56502,0.80257445974965,0.03970314857850915,0.3492039183122848,3.3213,100.0,0.2261646206732912,0.7999999999999999,0.08333333333333333,good,good,good,false,0,false,0,false,0,false,0,0.4646546871525885,0.9861924011063967,1.092620687705544,volatile,false,false,none,0.5306000000000001,0.0,0.9501999999999999,0.0,-0.2921095706572643,0.6723544599576482,0.8932998281272531,false,none,0.38139999999999974,1.5190000000000001,133.74621718629035,12.973230381985774,106.90407488211697,false,元器件,false,1.3566753466113026,true,rising,false,false,0.0,0.4646546871525885,0.690767244921139,元器件,-5.0,-2.0,3.0,0.3,0.5,0.9501999999999999,0.8932998281272531,0.38517999999999997,true,false,0.56502,0.82062425013787,0.0,"","","",0,0,0,35.0,0,10,45.0,18,27.0,F,❌ 规避风险
000050.SZ,深天马A,元器件,1.1750399999999999,-0.5392065997927139,-1.0448000000000002,0.39616002316216153,0.2552215350067182,,1.1418,75.577675,-0.46279060131793015,-0.6,0.23333333333333334,has_loss,has_loss,has_loss,true,1,true,1,true,1,true,1,1.4944331501859796,2.2244338553888268,3.7570541760722347,high_volatility,false,false,none,-1.9162599999999999,0.0,0.11054999999999998,0.0,0.2706750054702004,0.9347359849632001,0.004685847876680779,false,none,2.9012000000000002,-2.6801,24.01433691756272,164.8971240195521,-291.0937330292169,false,元器件,false,1.0,false,rising,false,false,0.0,1.4944331501859796,1.0,元器件,-5.0,-2.0,3.0,0.3,0.5,0.11054999999999998,0.004685847876680779,1.15535,true,false,-1.0448000000000002,0.5515277184209753,24.422325,持续衰退重罚-10.0分(最新<加权); 单年巨幅下滑-15.0分(年跌-291.1%),"","",0,0,0,26.45,0,3,29.45,30,0.0,F,❌ 规避风险
000100.SZ,TCL科技,元器件,2.9560720000000003,-0.37437554396223316,-0.7288400000000002,0.6215803282148656,0.11305963406038146,-0.5693774356341391,0.1391,28.512489120755333,-0.4957464519762427,-0.6,0.23333333333333334,good,good,good,false,0,true,1,false,0,true,1,0.8753743798681717,2.9259563721969606,2.323336883548939,high_volatility,false,false,none,-0.97461,0.0,-0.8244,0.0,-0.07665828420127485,0.22174957178920804,0.367815151394711,true,moderate,-2.6964,1.0476,-92.21992281447508,-95.09433962264151,58.59388108954639,false,元器件,true,3.0036355500866936,true,falling,false,false,0.0,0.8753743798681717,1.0,元器件,-5.0,-2.0,3.0,0.3,0.5,-0.8244,0.367815151394711,0.46376000000000017,true,false,-1.2881600000000002,0.4845559544886454,71.48751087924467,复合恶化-14.0分(触发2项恶化信号); 轻度衰退-7.5分(log斜率-0.374); 中度恶化-10分; 持续衰退重罚-10.0分(最新<加权); 单年巨幅下滑-15.0分(年跌-95.1%); 相对加权暴跌-15.0分(最新仅为加权4.7%),"","",0,0,0,9.98,0,7,16.98,30,0.0,F,❌ 规避风险
000153.SZ,丰原药业,化学制药,6.6710400000000005,0.003056709747094599,0.021119999999999986,0.007245915386186195,0.8917491334036286,-0.004139035840892702,6.3483,69.437655,-0.003430752794092236,-0.19999999999999998,0.8166666666666667,good,good,good,false,0,false,0,false,0,false,0,0.05855646285903025,0.3900141497433139,0.1387437542039012,ultra_stable,false,true,growth_to_decline,0.19832999999999998,0.0,-0.46205000000000007,-0.6603800000000001,0.5196876823386963,0.4041602196292499,0.9996464749154247,true,severe,-0.4771000000000001,-0.44700000000000006,-12.706946812606567,-6.990066516248134,-6.146526593696717,false,化学制药,false,1.1359930019681965,true,falling,false,false,0.0,0.05855646285903025,0.24788862985372967,化学制药,-5.0,-2.0,3.0,0.3,0.5,-0.46205000000000007,0.9996464749154247,-0.48317000000000004,false,true,0.021119999999999986,0.0073310656609355575,30.562345,复合恶化-14.0分(触发2项恶化信号); 严重恶化-15分; 增长转衰退-1.3分(斜率变化-0.66); 加速下滑-0.2分(加速度-0.48),"","",0,0,5,24.3,0,0,29.3,22,7.300000000000001,F,❌ 规避风险
000158.SZ,常山北明,软件服务,0.11567800000000006,-0.8462479652252526,-1.44754,0.7173543346052654,0.07019065108986657,,-3.3114,19.07504069549495,-0.8238755777419327,-0.6,0.23333333333333334,poor,poor,poor,true,2,true,2,true,2,true,2,4.722428210104561,2.5970521698649027,11.441066298141614,high_volatility,false,false,none,-1.63645,0.0,-1.7668499999999998,0.0,-0.19349469898877336,0.7102110908778335,0.7571863402076434,true,moderate,-4.0521,1.2072,-609.8392282958199,-547.0635884973674,258.77813504823155,false,软件服务,true,inf,true,falling,false,false,0.0,4.722428210104561,1.0,软件服务,-5.0,-2.0,3.0,0.3,0.5,-1.42245,0.4674641016288272,0.025090000000000057,false,false,-1.44754,0.7766758615635208,80.92495930450505,复合恶化-14.0分(触发2项恶化信号); 轻度衰退-16.9分(log斜率-0.846); 中度恶化-10分; 持续衰退重罚-10.0分(最新<加权); 单年巨幅下滑-15.0分(年跌-547.1%); 相对加权暴跌-15.0分(最新仅为加权-2862.6%),"","",0,0,0,6.68,0,7,13.68,30,0.0,F,❌ 规避风险
000400.SZ,许继电气,电气设备,9.275585,0.050610068047813074,0.4677700000000002,0.7709269346261878,0.050191841645222494,0.042738550738319114,10.0908,100.0,0.04361626564791643,0.7999999999999999,0.08333333333333333,good,good,good,false,0,false,0,false,0,false,0,0.0928615200713223,0.8396260060288748,0.20596790426579065,ultra_stable,false,true,acceleration,0.011500000000000732,0.0,0.6823899999999998,0.6708899999999991,0.6220829246046958,0.0038982932107998625,0.9315124220552107,false,none,0.295399999999999,1.237,17.90521592821087,3.0157012475243374,14.453636193681064,false,电气设备,false,1.0,false,rising,false,false,0.0,0.0928615200713223,0.25952818673798894,电气设备,-5.0,-2.0,3.0,0.3,0.5,0.7661999999999995,0.8882145586777459,0.29842999999999936,true,false,0.4677700000000002,0.7759486393236456,0.0,"","","",0,0,10,35.0,6,7,58.0,0,58.0,D,❌ 规避风险
000403.SZ,派林生物,生物制药,9.316967000000002,-0.012553195603033319,-0.10195999999999988,0.07048156396879253,0.6659895496639141,-0.15230345387209288,8.4959,100.0,-0.11531521473655182,-0.6,0.23333333333333334,good,good,good,false,0,false,0,false,0,false,0,0.3805454873228446,3.7458081735454627,0.9221741577485508,volatile,false,true,improving,-4.283149999999999,0.0,-0.20369999999999983,4.07945,0.685028207973319,0.8459864113934684,0.13722960779713902,false,none,1.120000000000001,-0.5109000000000004,7.723030887051791,15.18458764354182,-6.477912461327792,false,生物制药,false,1.0,false,rising,false,false,0.0,0.3805454873228446,0.5472121539895113,生物制药,-5.0,-2.0,3.0,0.3,0.5,0.3045500000000003,0.29500521468790214,2.05886,true,false,-1.7543099999999996,0.548354763727797,0.0,"","","",0,0,10,35.0,4,0,49.0,0,49.0,F,❌ 规避风险
