ts_code,metric_name,name,ann_date,industry,end_date,grossprofit_margin_slope,grossprofit_margin_log_slope,grossprofit_margin_r_squared,grossprofit_margin_p_value,grossprofit_margin_cagr_approx,grossprofit_margin_cagr,grossprofit_margin_trend_direction,grossprofit_margin_cv,grossprofit_margin_std_dev,grossprofit_margin_volatility_type,grossprofit_margin_volatility_regime,grossprofit_margin_has_deterioration,grossprofit_margin_deterioration_severity,grossprofit_margin_total_decline_pct,grossprofit_margin_has_inflection,grossprofit_margin_inflection_type,grossprofit_margin_slope_change,grossprofit_margin_is_cyclical,grossprofit_margin_current_phase,grossprofit_margin_cycle_position,grossprofit_margin_is_accelerating,grossprofit_margin_is_decelerating,grossprofit_margin_recent_3y_slope,grossprofit_margin_robust_slope,grossprofit_margin_mk_tau,grossprofit_margin_mk_p_value,grossprofit_margin_weighted_avg,grossprofit_margin_latest_value,grossprofit_margin_latest_vs_weighted_ratio,grossprofit_margin_full_data_years,grossprofit_margin_trend_window_years,grossprofit_margin_has_structural_break,grossprofit_margin_break_year_index,grossprofit_margin_data_regime
000009.SZ,gross_margin,中国宝安,20250416.0,电气设备,20241231,-2.16045,-0.005905747962631841,0.28913567523318734,0.34995790932339116,-0.05433846228908912,-0.05433846228908912,down,0.22484396592885186,5.884899579686981,stable,decreasing_vol,False,none,36.7952299043674,False,none,13.564599999999999,False,rising,mid_up,True,False,0.15651131921904016,-2.8394625000000007,-0.4,0.48333333333333334,25.093035,27.2782,1.08708253106888,10,5,False,,stable
000020.SZ,gross_margin,深华发A,20250422.0,元器件,20241231,-0.07436999999999987,-0.002656326436224341,0.07145683918645757,0.6637431341157196,-0.0030558017939159576,-0.0030558017939159576,down,0.04064150191489611,0.44051974189586535,ultra_stable,stable,False,none,6.9990265875212305,False,none,1.3039499999999995,False,rising,mid_up,True,False,0.03368162869189639,-0.18427499999999997,-0.4,0.48333333333333334,10.801975,11.212,1.0379583363227558,10,5,False,,stable
000021.SZ,gross_margin,深科技,20250425.0,元器件,20241231,1.8302099999999997,0.033106130781726265,0.7442459586938946,0.05980002464976465,0.10643031307025597,0.10643031307025597,up,0.24791451840273798,3.3028907543241575,ultra_stable,stable,False,none,41.31011926063398,False,none,-0.009300000000003195,False,rising,top,False,False,0.1724628230665679,2.072483333333334,0.8,0.08333333333333333,14.237805,16.9794,1.1925574201922275,10,5,False,,stable
000034.SZ,gross_margin,神州数码,20250329.0,软件服务,20241231,0.06195000000000008,0.014720992834395588,0.6512957629188635,0.09876058174446023,0.019040524102739154,0.019040524102739154,up,0.08225822574728384,0.3187489796062099,ultra_stable,decreasing_vol,False,none,7.3116032518667575,False,none,0.7002499999999998,False,rising,top,False,False,0.034260982088807346,0.10997499999999993,0.8,0.08333333333333333,3.93755,4.2108,1.0693959441784866,10,5,False,,stable
000045.SZ,gross_margin,深纺织A,20250328.0,元器件,20241231,0.0972299999999997,0.0033238170832999413,0.03473303500662154,0.7640897673249458,0.03725029725951812,0.03725029725951812,up,0.10572010723075796,1.7370786243000054,ultra_stable,decreasing_vol,False,none,-1.0752951250840959,False,none,-4.954699999999999,False,falling,bottom,False,False,-0.005395397958383175,0.19225000000000048,0.0,1.0,16.550155,16.1732,0.9772234761547551,10,5,False,,stable
000049.SZ,gross_margin,德赛电池,20250422.0,电气设备,20241231,0.3168200000000002,0.02613006211801812,0.5784608783197742,0.1354765935757684,0.04587185886519696,0.04587185886519696,up,0.0694478153184305,0.6582111150687142,ultra_stable,increasing_vol,False,none,5.304291340181079,False,none,0.658949999999999,False,rising,top,False,False,0.025716452730789596,0.38132083333333344,0.6,0.23333333333333334,9.63619,10.375,1.0766703437769494,10,5,False,,stable
000050.SZ,gross_margin,深天马A,20250315.0,元器件,20241231,-2.38579,-0.00888863699795618,0.4400663196396774,0.22223208648417261,-0.09072572078979324,-0.09072572078979324,down,0.3571687439618108,5.0520875929659015,moderate,increasing_vol,False,none,2.9384407893716906,False,none,9.768149999999999,False,rising,mid_up,False,False,0.014438401642687948,-2.474658333333333,-0.6,0.23333333333333334,13.429083000000002,13.2805,0.9889357300122427,10,5,False,,stable
000062.SZ,gross_margin,深圳华强,20250314.0,元器件,20241231,-0.47452999999999984,-0.017480009296782947,0.45688621451205075,0.21035688452807114,-0.039226355331385965,-0.039226355331385965,down,0.11359899181059138,1.136755575310717,ultra_stable,stable,False,none,-21.64373373001115,True,growth_to_decline,-2.661999999999999,False,falling,bottom,False,True,-0.12127852323969446,-0.7713249999999996,-0.6,0.23333333333333334,9.769475,8.428,0.8626870942399669,10,5,False,,stable
000066.SZ,gross_margin,中国长城,20250428.0,IT设备,20241231,-0.7872400000000003,-0.013859677712140597,0.27816781747721303,0.361054661706583,-0.09231646371627422,-0.09231646371627422,down,0.1714226206319527,3.623915341588432,stable,increasing_vol,True,severe,-39.10120381571902,False,none,-3.211599999999999,False,falling,bottom,False,True,-0.24764550562472532,-1.7668625000000007,-0.4,0.48333333333333334,20.449440000000003,15.3535,0.7508029559733664,10,5,False,,stable
000100.SZ,gross_margin,TCL科技,20250429.0,元器件,20241231,-0.8680199999999999,-0.005276455117936758,0.1045550457060716,0.5955895331737424,-0.039383341535808025,-0.039383341535808025,down,0.29992489202826417,4.110326681299187,moderate,decreasing_vol,True,moderate,31.95026416469301,False,none,-4.849799999999999,False,falling,mid_down,False,False,0.13794285937578032,-1.4591874999999999,-0.2,0.8166666666666667,13.427875,11.5884,0.8630107146514248,10,5,False,,stable
