ts_code,metric_name,end_date,name,industry,ann_date,roiic_slope,roiic_log_slope,roiic_r_squared,roiic_p_value,roiic_cagr_approx,roiic_cagr,roiic_trend_direction,roiic_cv,roiic_std_dev,roiic_volatility_type,roiic_volatility_regime,roiic_has_deterioration,roiic_deterioration_severity,roiic_total_decline_pct,roiic_has_inflection,roiic_inflection_type,roiic_slope_change,roiic_is_cyclical,roiic_current_phase,roiic_cycle_position,roiic_is_accelerating,roiic_is_decelerating,roiic_recent_3y_slope,roiic_robust_slope,roiic_mk_tau,roiic_mk_p_value,roiic_weighted_avg,roiic_latest_value,roiic_latest_vs_weighted_ratio,roiic_full_data_years,roiic_trend_window_years,roiic_has_structural_break,roiic_break_year_index,roiic_data_regime
000009.SZ,roiic,20241231,中国宝安,电气设备,20250416.0,-18.701787112169452,-0.0036963828952930582,0.7453218198677641,0.059399088452439214,,,down,2.515433041239486,207.57136161511855,high_volatility,increasing_vol,False,none,-260.8220450133745,True,deterioration_to_recovery,441.7718156657735,False,rising,mid_up,False,True,-3.3733536282435987,-12.089693753164298,-0.8,0.08333333333333333,-99.41894079431657,-18.47577415915498,5.381043302321014,10,5,False,,stable
000020.SZ,roiic,20241231,深华发A,元器件,20250422.0,3.557320549355704,0.0021616714023749766,0.6691980958823998,0.09058481301730655,,,up,3.829147275193947,32.84472270022042,high_volatility,increasing_vol,False,none,1240.3906510571285,False,none,68.27499062944455,False,rising,top,False,False,3.679673416011383,7.265057924061812,0.6,0.23333333333333334,13.195962694164425,66.67693389037267,5.052828310878661,10,5,False,,stable
000021.SZ,roiic,20241231,深科技,元器件,20250425.0,-14.45867043310883,-0.002608549928771889,0.7589397500819975,0.05442222605251262,,,down,2.1657661163146593,90.85063727233549,high_volatility,increasing_vol,True,severe,-895.7815833328656,True,accelerated_decline,-174.78357340908798,False,falling,bottom,True,False,-1.1488792202117024,-21.630318175139756,-0.8,0.08333333333333333,-55.507994453866395,-202.25856601037287,0.27444075941396545,10,5,False,,stable
000034.SZ,roiic,20241231,神州数码,软件服务,20250329.0,53.89750476866804,0.004613794605004499,0.8167285240102802,0.03533419073196164,,,up,3.0496191347563997,204.68531645665647,high_volatility,increasing_vol,False,none,808.4849334319474,False,none,328.6338221456426,False,rising,top,False,False,1.1032455061226663,89.75951749174969,0.8,0.08333333333333333,99.90803705822827,417.16995609118646,4.175539509879991,10,5,False,,stable
000045.SZ,roiic,20241231,深纺织A,元器件,20250328.0,-14.97986844267129,-0.001075549394631475,0.5458517294895281,0.15380017125398324,,,down,2.1517554578525977,177.8254906749241,high_volatility,increasing_vol,False,none,90.47396289713157,False,none,420.1228212235059,False,rising,mid_up,False,False,1.165079766427028,-14.675094993062338,-0.6,0.23333333333333334,-95.96033154480497,-3.381442654318411,28.378518092641574,10,5,False,,stable
000049.SZ,roiic,20241231,德赛电池,电气设备,20250422.0,-29.84636474974362,-0.00018881122756848212,0.07336184969505859,0.6594023494968645,,,down,1.5115171590441268,137.2346210383491,high_volatility,increasing_vol,True,severe,-4500.6939519704,False,none,-370.2854382758423,False,falling,bottom,False,True,-4.502771422739208,-17.593485974107615,-0.4,0.48333333333333334,-99.74654132937025,-298.5995367142713,0.33404787705621025,10,5,False,,stable
000050.SZ,roiic,20241231,深天马A,元器件,20250315.0,-33.64977098402052,-0.0011137678403756331,0.6439620003613017,0.10220444524218808,,,down,1.173025191152419,121.91086047282008,high_volatility,stable,False,none,77.04834060502735,False,none,113.43423050673391,False,rising,mid_up,True,False,0.7358573483353608,-18.068290369596582,-0.4,0.48333333333333334,-114.0235266845778,-60.24248316734633,1.8927428068964927,10,5,False,,stable
000062.SZ,roiic,20241231,深圳华强,元器件,20250314.0,3.1162235051895264,0.00010026062403603104,0.0051016313664761686,0.9091353523357553,,,up,18.14852417283568,28.063947228842633,high_volatility,increasing_vol,False,none,1218.2511236681473,False,none,78.38905480931531,False,rising,top,False,False,3.108855087881533,3.0583623566050075,0.0,1.0,2.1657559245616955,37.03135197490769,17.098580479424097,10,5,False,,stable
000066.SZ,roiic,20241231,中国长城,IT设备,20250428.0,15.10026117791283,0.0018014128916663157,0.5656119980764852,0.14255190931923528,,,up,2.27926640982814,120.69204479297937,high_volatility,increasing_vol,True,mild,250.07970529756292,True,accelerated_decline,-231.0359805460887,False,falling,mid_down,True,False,3.8107066269650973,9.815249671074664,0.2,0.8166666666666667,63.0206454504577,27.661090693863443,0.4389210947642325,10,5,False,,stable
000100.SZ,roiic,20241231,TCL科技,元器件,20250429.0,11.857439951686626,0.0003292573217230695,0.04429913257678806,0.7340086318450267,,,up,2.0434491800612937,82.59204582324722,high_volatility,increasing_vol,False,none,662.6315516840461,False,none,183.65409477491158,False,rising,top,True,False,5.033760856658024,35.47445088189096,0.4,0.48333333333333334,50.6417873930541,182.03845107516528,3.5946292665833752,10,5,False,,stable
