ts_code,metric_name,ann_date,industry,name,end_date,ocfps_slope,ocfps_log_slope,ocfps_r_squared,ocfps_p_value,ocfps_cagr_approx,ocfps_cagr,ocfps_trend_direction,ocfps_robust_slope,ocfps_cv,ocfps_std_dev,ocfps_volatility_type,ocfps_volatility_regime,ocfps_has_deterioration,ocfps_deterioration_severity,ocfps_total_decline_pct,ocfps_has_inflection,ocfps_inflection_type,ocfps_slope_change,ocfps_is_cyclical,ocfps_current_phase,ocfps_cycle_position,ocfps_is_accelerating,ocfps_is_decelerating,ocfps_recent_3y_slope,ocfps_mk_tau,ocfps_mk_p_value,ocfps_weighted_avg,ocfps_latest_value,ocfps_latest_vs_weighted_ratio,ocfps_full_data_years,ocfps_trend_window_years,ocfps_has_structural_break,ocfps_break_year_index,ocfps_data_regime
000009.SZ,ocf,20250416.0,电气设备,中国宝安,20241231,0.23316499999999998,0.19951807067876604,0.3976978164746778,0.25401481577344276,,,up,0.23591666666666664,1.5123446745326516,0.9721956505765698,high_volatility,increasing_vol,True,severe,472.380106571936,False,none,-1.5962,False,falling,mid_down,False,False,0.2471218358438459,0.4,0.4624327264504764,0.738861,0.6445,0.8722885630720798,10,5,False,,stable
000020.SZ,ocf,20250422.0,元器件,深华发A,20241231,0.07988,0.07926730523608248,0.4737276858752592,0.19886301500837755,,,up,0.05616666666666668,0.7268941385127704,0.18173807251096288,volatile,decreasing_vol,False,none,32.439862542955346,False,none,0.3016,False,falling,mid_down,False,False,0.04470183441126041,0.6,0.22067136191984693,0.273984,0.3854,1.4066514832982948,10,5,False,,stable
000021.SZ,ocf,20250425.0,元器件,深科技,20241231,-0.040530000000000024,0.02709003551345722,4.464576263141723e-06,0.9973097049135831,-0.07464647824597848,-0.07464647824597848,up,0.14555000000000007,0.5490442818353062,0.6688677059030433,volatile,decreasing_vol,False,none,171.14479874542604,False,none,2.0575,False,rising,mid_up,True,False,0.33958425075260773,0.2,0.8064959405073401,1.2060810000000002,1.5561,1.2902118514428134,10,5,False,,stable
000034.SZ,ocf,20250329.0,软件服务,神州数码,20241231,0.30734000000000006,0.15855963577390808,0.0237983200843701,0.804362980658914,,,up,0.194,1.2561067500496848,1.6928048227719579,high_volatility,stable,False,none,198.92911372172938,False,none,4.445399999999999,False,rising,top,False,False,0.4906845342299418,0.2,0.8064959405073401,1.4398620000000002,3.7405,2.597818402041306,10,5,False,,stable
000045.SZ,ocf,20250328.0,元器件,深纺织A,20241231,0.12791999999999998,0.11707410605529803,0.30046458926859865,0.3388025094495582,,,up,0.11676666666666666,1.1224100588309565,0.40054325359441517,high_volatility,stable,False,none,-52.82570513482797,False,none,-0.24305,False,rising,mid_up,False,True,-0.2082157221325465,0.4,0.4624327264504764,0.395236,0.4566,1.1552591363134939,10,5,False,,stable
000049.SZ,ocf,20250422.0,电气设备,德赛电池,20241231,-0.4531100000000001,-0.18723047309304358,0.1171871033884131,0.5728061822881771,-0.3739648770368226,-0.3739648770368226,down,-0.2552166666666667,0.8819958969814342,3.1025264071398326,high_volatility,increasing_vol,True,severe,-27.209373564098637,False,none,-4.1522499999999996,False,falling,bottom,False,False,-0.11802364013500843,-0.4,0.4624327264504764,3.381687,0.9505,0.2810727308588879,10,5,False,,stable
000050.SZ,ocf,20250315.0,元器件,深天马A,20241231,-0.11983999999999995,-0.04049177697671595,0.13810008033408658,0.5379691081209238,-0.036598179900546146,-0.036598179900546146,down,-0.15844999999999992,0.23386999055430188,0.48247846791333593,moderate,decreasing_vol,False,none,47.01300332935485,False,none,1.2923999999999998,False,rising,top,True,False,0.17077367409719535,-0.2,0.8064959405073401,2.0031000000000003,2.3403,1.1683390744346263,10,5,False,,stable
000062.SZ,ocf,20250314.0,元器件,深圳华强,20241231,0.44962,0.38247302919089265,0.3682556681815825,0.2778115489119604,,,up,0.43465,3.041347108585509,1.297621157349093,high_volatility,stable,False,none,-36.62852153132037,False,none,0.13250000000000028,False,rising,mid_up,False,False,-0.19699295368782643,0.4,0.4624327264504764,0.561546,1.3789,2.4555423776502727,10,5,False,,stable
000066.SZ,ocf,20250428.0,IT设备,中国长城,20241231,0.02325,0.025567503704165502,0.10847914515737397,0.5883539524515218,,,up,0.012991666666666669,21.13610228468808,0.1115986200631531,high_volatility,increasing_vol,True,severe,145.38152610441765,False,none,0.011799999999999977,False,falling,mid_down,True,False,0.09032528774136174,0.0,1.0,0.012255000000000002,0.0565,4.610363117095063,10,5,False,,stable
000100.SZ,ocf,20250429.0,元器件,TCL科技,20241231,-0.0033199999999999675,0.005904923119094496,0.0012247019912758367,0.9554511334945441,0.07210664992661187,0.07210664992661187,up,0.07409166666666671,0.3339070289940077,0.503064329882372,moderate,decreasing_vol,False,none,45.677754099879564,True,worsening,-0.9067000000000002,False,rising,mid_up,False,False,0.14892988830616122,0.2,0.8064959405073401,1.4996730000000003,1.5723,1.0484285574255185,10,5,False,,stable
