ts_code,metric_name,name,industry,end_date,ann_date,eps_slope,eps_log_slope,eps_r_squared,eps_p_value,eps_cagr_approx,eps_cagr,eps_trend_direction,eps_cv,eps_std_dev,eps_volatility_type,eps_volatility_regime,eps_has_deterioration,eps_deterioration_severity,eps_total_decline_pct,eps_has_inflection,eps_inflection_type,eps_is_cyclical,eps_current_phase,eps_cycle_position,eps_is_accelerating,eps_is_decelerating,eps_recent_3y_slope,eps_robust_slope,eps_mk_tau,eps_mk_p_value,eps_weighted_avg,eps_latest_value,eps_latest_vs_weighted_ratio,eps_full_data_years,eps_trend_window_years,eps_has_structural_break,eps_break_year_index,eps_data_regime
000009.SZ,profit,中国宝安,电气设备,20241231,20250416.0,-0.04876,-0.04762063411526138,0.2756885417003934,0.3636050917489003,-0.2854339697537638,-0.2854339697537638,down,0.5066919428041261,0.14863301450216235,volatile,increasing_vol,True,severe,-85.08028545941124,False,none,False,falling,bottom,False,True,-0.1838699803501492,-0.0507625,-0.2,0.8064959405073401,0.27871200000000007,0.0669,0.24003272194953926,10,5,False,,stable
000020.SZ,profit,深华发A,元器件,20241231,20250422.0,0.00347,0.00346804509993419,0.3454892440552298,0.29727128774397826,0.523108119769983,0.523108119769983,up,0.8428803246675994,0.044183786619075564,volatile,increasing_vol,False,none,262.2905027932961,False,none,False,rising,top,False,False,0.046773365331083436,0.011075000000000003,1.0,0.02748633611151033,0.059407,0.1297,2.1832443988082213,10,5,False,,stable
000021.SZ,profit,深科技,元器件,20241231,20250425.0,-0.0066200000000000035,-0.006141466730931305,0.015971825113724546,0.8395177598664368,0.0057855059470246495,0.0057855059470246495,down,0.17069893659385876,0.08605616189442797,stable,stable,False,none,41.179256452758686,False,none,False,rising,top,True,False,0.0774519001469095,-0.027949999999999975,-0.2,0.8064959405073401,0.50083,0.5962,1.1904238963320886,10,5,False,,stable
000034.SZ,profit,神州数码,软件服务,20241231,20250329.0,0.18282,0.12627504365379702,0.2683444374467526,0.3712539041464378,0.0486340895168802,0.0486340895168802,up,0.4733895450780928,0.5544906419408717,volatile,decreasing_vol,True,severe,-25.549450549450547,False,none,False,falling,mid_down,False,False,-0.1184130664139002,0.24701666666666675,0.4,0.4624327264504764,1.226166,1.1653,0.9503607178799607,10,5,False,,stable
000045.SZ,profit,深纺织A,元器件,20241231,20250328.0,0.026000000000000002,0.025780912009526657,0.9485434579551263,0.005032583487954496,0.26632043791235804,0.26632043791235804,up,0.3148510911899849,0.04219004621945797,ultra_stable,decreasing_vol,False,none,28.57142857142855,False,none,False,rising,mid_up,False,False,0.019747625213950307,0.02000000000000001,1.0,0.02748633611151033,0.1418,0.18,1.2693935119887163,10,5,False,,stable
000049.SZ,profit,德赛电池,电气设备,20241231,20250422.0,-0.52482,-0.23061630159409524,0.8471491396136865,0.026631256067345038,-0.24079396339122383,-0.24079396339122383,down,0.3861745348486128,0.8917310654003257,stable,increasing_vol,True,moderate,-62.80310378273521,False,none,False,falling,bottom,False,True,-0.4247104720476521,-0.5312041666666667,-0.8,0.0864107329737,2.1516940000000004,1.0738,0.4990486565468881,10,5,False,,stable
000050.SZ,profit,深天马A,元器件,20241231,20250315.0,-0.33749,-0.3167720477624434,0.7100627720473317,0.0731306373529012,,,down,14.387127854128787,0.6410904171799794,high_volatility,increasing_vol,False,none,-693.8864628820961,False,none,False,rising,mid_up,False,False,-0.15726852066112545,-0.30720833333333336,-0.8,0.0864107329737,-0.05668699999999999,-0.272,1.0,10,5,False,,stable
000062.SZ,profit,深圳华强,元器件,20241231,20250314.0,-0.11848999999999998,-0.10622993097941325,0.4461468320637999,0.21789242731013858,-0.23584285952808703,-0.23584285952808703,down,0.48328475228343887,0.29024149083134204,volatile,increasing_vol,True,moderate,-77.64111574785856,False,none,False,falling,bottom,False,True,-0.30725307281926384,-0.1486625,-0.4,0.4624327264504764,0.565013,0.2036,0.36034569116108833,10,5,False,,stable
000066.SZ,profit,中国长城,IT设备,20241231,20250428.0,-0.20590000000000003,-0.2013477377911864,0.9674994016858525,0.0025113914983515037,,,down,8.148552360933715,0.3308312258539088,high_volatility,increasing_vol,True,severe,-1307.8947368421052,False,none,False,falling,bottom,False,True,-0.241116978449277,-0.20033333333333334,-1.0,0.02748633611151033,-0.10237000000000002,-0.459,1.0,10,5,False,,stable
000100.SZ,profit,TCL科技,元器件,20241231,20250429.0,-0.048715,-0.04753510019032293,0.4068434042101437,0.24691750210005498,-0.2927882055513036,-0.2927882055513036,down,1.1344024228227858,0.2962378486959423,high_volatility,decreasing_vol,True,moderate,340.8376963350785,False,none,False,falling,mid_down,False,False,0.03250099295882941,-0.06773333333333334,-0.4,0.4624327264504764,0.227192,0.0842,0.37061164125497376,10,5,False,,stable
